Indicators,BNC  ,BPH,BUH,CAPITALBK,SOGEBK,UNIBNK,SOGEBL,CBNA,TOTAL,Parts1_fr,Parts2_fr,Parts1_en,Parts2_en,Date,SCOTIA,BICH,SOCABK,PROMOBK,SOCABL,BHD *,BHD 
ACTIF_LIQUIDE_encaisse,3527056,296131.89960999996,911980.505631775,966863,3387712.22689,3330080.3577089366,67219.84224999999,35320,12522363.832090711,Actif,Actif liquide,Asset,Liquid asset,2021-12-01,,,,,,,
ACTIF_LIQUIDE_avoirs_a_la_brh,35766230,1521012.79145,16149605.89443703,14461309,49370654.916319996,75394417.43543717,1496700.6732799998,4439023,198598953.7109242,Actif,Actif liquide,Asset,Liquid asset,2021-12-01,,,,,,,
ACTIF_LIQUIDE_avoirs_a_l'etranger,2660092,0,1364099.720982831,5558614,9628041.325690001,19096774.33684147,0,552701,38860322.3835143,Actif,Actif liquide,Asset,Liquid asset,2021-12-01,,,,,,,
ACTIF_LIQUIDE_avoirs_dans_les_banques_locales,0,0,84328.688359958,31621,11048.41,2.37455444294028e-09,236407.84713999997,0,363405.94549996033,Actif,Actif liquide,Asset,Liquid asset,2021-12-01,,,,,,,
ACTIF_LIQUIDE_autres_liquidites,538450,11734.87537,48.341,134420,114311.25438,737278.8199936841,6988.6967,106277,1649508.9874436841,Actif,Actif liquide,Asset,Liquid asset,2021-12-01,,,,,,,
ACTIF_ILLIQUIDE_bons_b.r.h.,800000,0,0,0,5500000,0,0,0,6300000,Actif,Actif illiquide,Asset,Non-liquid asset,2021-12-01,,,,,,,
ACTIF_ILLIQUIDE_bons_du_tresor_/_m.e.f.,20600000,1565000,0,0,0,7550000,0,0,29715000,Actif,Actif illiquide,Asset,Non-liquid asset,2021-12-01,,,,,,,
ACTIF_ILLIQUIDE_autres_placements,15302454,0,5879008.223214399,3868880,22700012.235310003,33791025.81473601,1947287.27127,0,83488667.54453042,Actif,Actif illiquide,Asset,Non-liquid asset,2021-12-01,,,,,,,
ACTIF_ILLIQUIDE_portefeuille_net,24192121,301918.07063,13391292.247499876,12071898,36854833.957820006,40241685.21874,4805310.620719998,96667,131955726.11540988,Actif,Actif illiquide,Asset,Non-liquid asset,2021-12-01,,,,,,,
ACTIF_ILLIQUIDE_immobilisations,2959550,350682.92631999997,1030060.6353700001,1173813,4088116.9210400004,3080944.37777,626101.95165,268082,13577351.81215,Actif,Actif illiquide,Asset,Non-liquid asset,2021-12-01,,,,,,,
ACTIF_ILLIQUIDE_autres_actifs,2513502,973187.89194,1002789.401315024,1263072,6075210.58577,2470940.935595562,1256642.8256499998,36938,15592283.640270585,Actif,Actif illiquide,Asset,Non-liquid asset,2021-12-01,,,,,,,
DÉPÔT_a_vue,41016533,1887642.4668400001,13879708.585220747,14240123,52065568.9171979,71587322.71611007,3034178.3679099996,3474785,201185862.0532787,Passif,Dépôt,Liability,Deposit,2021-12-01,,,,,,,
DÉPÔT_epargne,30548090,530021.06429,6881361.233152483,7872921,37082272.90075241,64599656.28404063,972042.9224200002,607299,149093664.40465552,Passif,Dépôt,Liability,Deposit,2021-12-01,,,,,,,
